airline_code,ticket_price,airline_name,from_city,to_city,from_date,to_date,crawl_date
LH,941.56,Lufthansa,MUC,BLR,2020-02-20,2020-03-11,2020-02-19
AZ,955.7,Alitalia,MUC,BLR,2020-02-20,2020-03-11,2020-02-19
WY,966.5,Oman Air,MUC,BLR,2020-02-20,2020-03-11,2020-02-19
TG,1002.18,Thai Airways,MUC,BLR,2020-02-20,2020-03-11,2020-02-19
QF,8613.18,Qantas Airways,MUC,BLR,2020-02-20,2020-03-11,2020-02-19
KL,546.69,KLM Royal Dutch Airlines,MUC,BLR,2020-02-26,2020-03-17,2020-02-19
AF,546.81,Air France,MUC,BLR,2020-02-26,2020-03-17,2020-02-19
EY,551.19,Etihad,MUC,BLR,2020-02-26,2020-03-17,2020-02-19
QR,559.48,Qatar Airways,MUC,BLR,2020-02-26,2020-03-17,2020-02-19
TK,690.1,Turkish Airlines,MUC,BLR,2020-02-26,2020-03-17,2020-02-19
EK,700.18,Emirates,MUC,BLR,2020-02-26,2020-03-17,2020-02-19
BA,757.74,British Airways,MUC,BLR,2020-02-26,2020-03-17,2020-02-19
LH,766.56,Lufthansa,MUC,BLR,2020-02-26,2020-03-17,2020-02-19
LX,869.03,Swiss Air,MUC,BLR,2020-02-26,2020-03-17,2020-02-19
WY,876.5,Oman Air,MUC,BLR,2020-02-26,2020-03-17,2020-02-19
AZ,915.7,Alitalia,MUC,BLR,2020-02-26,2020-03-17,2020-02-19
TG,1002.18,Thai Airways,MUC,BLR,2020-02-26,2020-03-17,2020-02-19
QF,8613.18,Qantas Airways,MUC,BLR,2020-02-26,2020-03-17,2020-02-19
SV,510.72,Saudia,MUC,BLR,2020-03-05,2020-03-25,2020-02-19
KL,548.41,KLM Royal Dutch Airlines,MUC,BLR,2020-03-05,2020-03-25,2020-02-19
AF,548.53,Air France,MUC,BLR,2020-03-05,2020-03-25,2020-02-19
EY,551.19,Etihad,MUC,BLR,2020-03-05,2020-03-25,2020-02-19
QR,559.48,Qatar Airways,MUC,BLR,2020-03-05,2020-03-25,2020-02-19
EK,700.18,Emirates,MUC,BLR,2020-03-05,2020-03-25,2020-02-19
BA,757.74,British Airways,MUC,BLR,2020-03-05,2020-03-25,2020-02-19
LH,766.56,Lufthansa,MUC,BLR,2020-03-05,2020-03-25,2020-02-19
TK,814.12,Turkish Airlines,MUC,BLR,2020-03-05,2020-03-25,2020-02-19
WY,876.5,Oman Air,MUC,BLR,2020-03-05,2020-03-25,2020-02-19
LX,904.03,Swiss Air,MUC,BLR,2020-03-05,2020-03-25,2020-02-19
AZ,915.68,Alitalia,MUC,BLR,2020-03-05,2020-03-25,2020-02-19
TG,1002.18,Thai Airways,MUC,BLR,2020-03-05,2020-03-25,2020-02-19
UL,1768.18,Sri Lankan Airlines,MUC,BLR,2020-03-05,2020-03-25,2020-02-19
QF,8613.18,Qantas Airways,MUC,BLR,2020-03-05,2020-03-25,2020-02-19
QR,579.48,Qatar Airways,MUC,BLR,2020-03-20,2020-04-09,2020-02-19
KL,590.38,KLM Royal Dutch Airlines,MUC,BLR,2020-03-20,2020-04-09,2020-02-19
AF,590.5,Air France,MUC,BLR,2020-03-20,2020-04-09,2020-02-19
UL,645.18,Sri Lankan Airlines,MUC,BLR,2020-03-20,2020-04-09,2020-02-19
EK,720.18,Emirates,MUC,BLR,2020-03-20,2020-04-09,2020-02-19
EY,752.19,Etihad,MUC,BLR,2020-03-20,2020-04-09,2020-02-19
BA,760.64,British Airways,MUC,BLR,2020-03-20,2020-04-09,2020-02-19
LH,816.56,Lufthansa,MUC,BLR,2020-03-20,2020-04-09,2020-02-19
WY,896.5,Oman Air,MUC,BLR,2020-03-20,2020-04-09,2020-02-19
SQ,978.04,Singapore Airlines,MUC,BLR,2020-03-20,2020-04-09,2020-02-19
TG,1031.18,Thai Airways,MUC,BLR,2020-03-20,2020-04-09,2020-02-19
QF,8624.18,Qantas Airways,MUC,BLR,2020-03-20,2020-04-09,2020-02-19
UL,668.18,Sri Lankan Airlines,MUC,BLR,2020-04-19,2020-05-09,2020-02-19
QR,707.48,Qatar Airways,MUC,BLR,2020-04-19,2020-05-09,2020-02-19
EK,738.18,Emirates,MUC,BLR,2020-04-19,2020-05-09,2020-02-19
WY,767.5,Oman Air,MUC,BLR,2020-04-19,2020-05-09,2020-02-19
EY,790.19,Etihad,MUC,BLR,2020-04-19,2020-05-09,2020-02-19
KL,888.47,KLM Royal Dutch Airlines,MUC,BLR,2020-04-19,2020-05-09,2020-02-19
BA,892.73,British Airways,MUC,BLR,2020-04-19,2020-05-09,2020-02-19
SQ,996.04,Singapore Airlines,MUC,BLR,2020-04-19,2020-05-09,2020-02-19
LH,1033.25,Lufthansa,MUC,BLR,2020-04-19,2020-05-09,2020-02-19
TG,1049.18,Thai Airways,MUC,BLR,2020-04-19,2020-05-09,2020-02-19
AF,2288.8,Air France,MUC,BLR,2020-04-19,2020-05-09,2020-02-19
QF,8642.18,Qantas Airways,MUC,BLR,2020-04-19,2020-05-09,2020-02-19
EY,569.19,Etihad,MUC,BLR,2020-05-19,2020-06-08,2020-02-19
WY,600.5,Oman Air,MUC,BLR,2020-05-19,2020-06-08,2020-02-19
AF,604.79,Air France,MUC,BLR,2020-05-19,2020-06-08,2020-02-19
QR,690.8,Qatar Airways,MUC,BLR,2020-05-19,2020-06-08,2020-02-19
BA,804.54,British Airways,MUC,BLR,2020-05-19,2020-06-08,2020-02-19
EK,831.18,Emirates,MUC,BLR,2020-05-19,2020-06-08,2020-02-19
LH,865.48,Lufthansa,MUC,BLR,2020-05-19,2020-06-08,2020-02-19
TG,878.18,Thai Airways,MUC,BLR,2020-05-19,2020-06-08,2020-02-19
UL,1095.18,Sri Lankan Airlines,MUC,BLR,2020-05-19,2020-06-08,2020-02-19
QF,8642.18,Qantas Airways,MUC,BLR,2020-05-19,2020-06-08,2020-02-19
WY,768.68,Oman Air,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
UL,776.24,Sri Lankan Airlines,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
BA,828.05,British Airways,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
QR,864.26,Qatar Airways,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
EK,870.24,Emirates,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
LH,945.73,Lufthansa,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
EY,1017.23,Etihad,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
TG,1140.82,Thai Airways,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
TK,1197.58,Turkish Airlines,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
SQ,1210.58,Singapore Airlines,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
QF,8572.24,Qantas Airways,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
EK,679.18,Emirates,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
EY,680.17,Etihad,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
UL,692.18,Sri Lankan Airlines,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
WY,693.62,Oman Air,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
BA,786.99,British Airways,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
LH,825.67,Lufthansa,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
QR,844.2,Qatar Airways,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
TG,991.76,Thai Airways,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
SQ,1110.52,Singapore Airlines,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
TK,1414.52,Turkish Airlines,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
QF,8572.18,Qantas Airways,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
UL,600.24,Sri Lankan Airlines,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
EK,659.24,Emirates,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
WY,678.68,Oman Air,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
LH,731.59,Lufthansa,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
BA,765.05,British Airways,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
QR,844.26,Qatar Airways,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
TG,991.82,Thai Airways,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
SQ,1040.58,Singapore Airlines,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
TK,1045.58,Turkish Airlines,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
QF,8572.24,Qantas Airways,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
WY,653.62,Oman Air,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
EK,659.18,Emirates,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
EY,660.17,Etihad,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
UL,692.18,Sri Lankan Airlines,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
LH,709.21,Lufthansa,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
QR,844.2,Qatar Airways,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
BA,898.99,British Airways,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
TK,936.52,Turkish Airlines,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
SQ,970.52,Singapore Airlines,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
TG,991.76,Thai Airways,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
QF,8572.18,Qantas Airways,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
UL,600.18,Sri Lankan Airlines,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
EK,639.18,Emirates,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
WY,653.62,Oman Air,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
TK,701.52,Turkish Airlines,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
LH,709.21,Lufthansa,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
BA,741.99,British Airways,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
EY,765.84,Etihad,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
QR,804.2,Qatar Airways,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
KL,955.77,KLM Royal Dutch Airlines,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
SQ,970.52,Singapore Airlines,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
TG,991.76,Thai Airways,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
QF,8572.18,Qantas Airways,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
LH,714.98,Lufthansa,MUC,MAA,2020-04-03,2020-04-23,2020-01-04
BA,926.67,British Airways,MUC,MAA,2020-04-03,2020-04-23,2020-01-04
WY,994.62,Oman Air,MUC,MAA,2020-04-03,2020-04-23,2020-01-04
SQ,1048.52,Singapore Airlines,MUC,MAA,2020-04-03,2020-04-23,2020-01-04
UL,1081.18,Sri Lankan Airlines,MUC,MAA,2020-04-03,2020-04-23,2020-01-04
TG,1124.76,Thai Airways,MUC,MAA,2020-04-03,2020-04-23,2020-01-04
EK,1156.18,Emirates,MUC,MAA,2020-04-03,2020-04-23,2020-01-04
QR,1222.2,Qatar Airways,MUC,MAA,2020-04-03,2020-04-23,2020-01-04
KL,1796.95,KLM Royal Dutch Airlines,MUC,MAA,2020-04-03,2020-04-23,2020-01-04
CX,8566.14,Cathay Pacific,MUC,MAA,2020-04-03,2020-04-23,2020-01-04
QF,8590.18,Qantas Airways,MUC,MAA,2020-04-03,2020-04-23,2020-01-04
TK,772.84,Turkish Airlines,MUC,CCU,2020-01-05,2020-01-25,2020-01-04
QR,900.52,Qatar Airways,MUC,CCU,2020-01-05,2020-01-25,2020-01-04
KL,916.43,KLM Royal Dutch Airlines,MUC,CCU,2020-01-05,2020-01-25,2020-01-04
TG,1036.43,Thai Airways,MUC,CCU,2020-01-05,2020-01-25,2020-01-04
EK,1043.5,Emirates,MUC,CCU,2020-01-05,2020-01-25,2020-01-04
LH,1064.91,Lufthansa,MUC,CCU,2020-01-05,2020-01-25,2020-01-04
AI,1075.2,Air India,MUC,CCU,2020-01-05,2020-01-25,2020-01-04
BA,1113.31,British Airways,MUC,CCU,2020-01-05,2020-01-25,2020-01-04
SQ,1229.84,Singapore Airlines,MUC,CCU,2020-01-05,2020-01-25,2020-01-04
EY,1651.49,Etihad,MUC,CCU,2020-01-05,2020-01-25,2020-01-04
LX,3905.05,Swiss Air,MUC,CCU,2020-01-05,2020-01-25,2020-01-04
QF,8591.5,Qantas Airways,MUC,CCU,2020-01-05,2020-01-25,2020-01-04
TK,682.78,Turkish Airlines,MUC,CCU,2020-01-11,2020-01-31,2020-01-04
KL,707.37,KLM Royal Dutch Airlines,MUC,CCU,2020-01-11,2020-01-31,2020-01-04
UL,711.44,Sri Lankan Airlines,MUC,CCU,2020-01-11,2020-01-31,2020-01-04
EY,843.43,Etihad,MUC,CCU,2020-01-11,2020-01-31,2020-01-04
EK,846.44,Emirates,MUC,CCU,2020-01-11,2020-01-31,2020-01-04
QR,851.46,Qatar Airways,MUC,CCU,2020-01-11,2020-01-31,2020-01-04
TG,908.22,Thai Airways,MUC,CCU,2020-01-11,2020-01-31,2020-01-04
LH,999.85,Lufthansa,MUC,CCU,2020-01-11,2020-01-31,2020-01-04
MU,1012.1,China Eastern Airlines,MUC,CCU,2020-01-11,2020-01-31,2020-01-04
AI,1115.14,Air India,MUC,CCU,2020-01-11,2020-01-31,2020-01-04
SQ,1129.78,Singapore Airlines,MUC,CCU,2020-01-11,2020-01-31,2020-01-04
BA,1256.25,British Airways,MUC,CCU,2020-01-11,2020-01-31,2020-01-04
LX,3904.99,Swiss Air,MUC,CCU,2020-01-11,2020-01-31,2020-01-04
QF,8591.44,Qantas Airways,MUC,CCU,2020-01-11,2020-01-31,2020-01-04
TK,682.84,Turkish Airlines,MUC,CCU,2020-01-19,2020-02-08,2020-01-04
KL,707.43,KLM Royal Dutch Airlines,MUC,CCU,2020-01-19,2020-02-08,2020-01-04
EK,826.5,Emirates,MUC,CCU,2020-01-19,2020-02-08,2020-01-04
QR,831.52,Qatar Airways,MUC,CCU,2020-01-19,2020-02-08,2020-01-04
EY,878.03,Etihad,MUC,CCU,2020-01-19,2020-02-08,2020-01-04
TG,930.28,Thai Airways,MUC,CCU,2020-01-19,2020-02-08,2020-01-04
LH,938.6,Lufthansa,MUC,CCU,2020-01-19,2020-02-08,2020-01-04
SQ,989.84,Singapore Airlines,MUC,CCU,2020-01-19,2020-02-08,2020-01-04
AI,1075.2,Air India,MUC,CCU,2020-01-19,2020-02-08,2020-01-04
BA,1320.31,British Airways,MUC,CCU,2020-01-19,2020-02-08,2020-01-04
LX,3985.05,Swiss Air,MUC,CCU,2020-01-19,2020-02-08,2020-01-04
QF,8591.5,Qantas Airways,MUC,CCU,2020-01-19,2020-02-08,2020-01-04
TK,682.78,Turkish Airlines,MUC,CCU,2020-02-03,2020-02-23,2020-01-04
UL,711.44,Sri Lankan Airlines,MUC,CCU,2020-02-03,2020-02-23,2020-01-04
KL,742.37,KLM Royal Dutch Airlines,MUC,CCU,2020-02-03,2020-02-23,2020-01-04
EY,823.43,Etihad,MUC,CCU,2020-02-03,2020-02-23,2020-01-04
EK,826.44,Emirates,MUC,CCU,2020-02-03,2020-02-23,2020-01-04
QR,831.46,Qatar Airways,MUC,CCU,2020-02-03,2020-02-23,2020-01-04
TG,930.22,Thai Airways,MUC,CCU,2020-02-03,2020-02-23,2020-01-04
LH,939.85,Lufthansa,MUC,CCU,2020-02-03,2020-02-23,2020-01-04
SQ,989.78,Singapore Airlines,MUC,CCU,2020-02-03,2020-02-23,2020-01-04
AI,1122.73,Air India,MUC,CCU,2020-02-03,2020-02-23,2020-01-04
BA,1349.25,British Airways,MUC,CCU,2020-02-03,2020-02-23,2020-01-04
QF,8591.44,Qantas Airways,MUC,CCU,2020-02-03,2020-02-23,2020-01-04
TK,682.84,Turkish Airlines,MUC,CCU,2020-03-04,2020-03-24,2020-01-04
KL,742.43,KLM Royal Dutch Airlines,MUC,CCU,2020-03-04,2020-03-24,2020-01-04
EY,803.49,Etihad,MUC,CCU,2020-03-04,2020-03-24,2020-01-04
EK,806.5,Emirates,MUC,CCU,2020-03-04,2020-03-24,2020-01-04
QR,811.52,Qatar Airways,MUC,CCU,2020-03-04,2020-03-24,2020-01-04
TG,930.28,Thai Airways,MUC,CCU,2020-03-04,2020-03-24,2020-01-04
SQ,1019.84,Singapore Airlines,MUC,CCU,2020-03-04,2020-03-24,2020-01-04
AI,1048.77,Air India,MUC,CCU,2020-03-04,2020-03-24,2020-01-04
LH,1085.11,Lufthansa,MUC,CCU,2020-03-04,2020-03-24,2020-01-04
AZ,1138.94,Alitalia,MUC,CCU,2020-03-04,2020-03-24,2020-01-04
BA,1320.31,British Airways,MUC,CCU,2020-03-04,2020-03-24,2020-01-04
LX,3945.05,Swiss Air,MUC,CCU,2020-03-04,2020-03-24,2020-01-04
QF,8591.5,Qantas Airways,MUC,CCU,2020-03-04,2020-03-24,2020-01-04
KL,739.93,KLM Royal Dutch Airlines,MUC,CCU,2020-04-03,2020-04-23,2020-01-04
LH,883.64,Lufthansa,MUC,CCU,2020-04-03,2020-04-23,2020-01-04
OS,1017.74,Austrian Airlines,MUC,CCU,2020-04-03,2020-04-23,2020-01-04
SQ,1038.6,Singapore Airlines,MUC,CCU,2020-04-03,2020-04-23,2020-01-04
TG,1064.04,Thai Airways,MUC,CCU,2020-04-03,2020-04-23,2020-01-04
TK,1088.6,Turkish Airlines,MUC,CCU,2020-04-03,2020-04-23,2020-01-04
AI,1133.96,Air India,MUC,CCU,2020-04-03,2020-04-23,2020-01-04
QR,1258.28,Qatar Airways,MUC,CCU,2020-04-03,2020-04-23,2020-01-04
EK,1330.26,Emirates,MUC,CCU,2020-04-03,2020-04-23,2020-01-04
EY,1351.11,Etihad,MUC,CCU,2020-04-03,2020-04-23,2020-01-04
BA,1654.75,British Airways,MUC,CCU,2020-04-03,2020-04-23,2020-01-04
QF,8610.26,Qantas Airways,MUC,CCU,2020-04-03,2020-04-23,2020-01-04
CX,8636.22,Cathay Pacific,MUC,CCU,2020-04-03,2020-04-23,2020-01-04
LX,627.1,Swiss Air,MUC,BOM,2020-01-05,2020-01-25,2020-01-04
BA,670.36,British Airways,MUC,BOM,2020-01-05,2020-01-25,2020-01-04
KL,694.48,KLM Royal Dutch Airlines,MUC,BOM,2020-01-05,2020-01-25,2020-01-04
AF,694.6,Air France,MUC,BOM,2020-01-05,2020-01-25,2020-01-04
WY,707.99,Oman Air,MUC,BOM,2020-01-05,2020-01-25,2020-01-04
QR,783.57,Qatar Airways,MUC,BOM,2020-01-05,2020-01-25,2020-01-04
EK,821.55,Emirates,MUC,BOM,2020-01-05,2020-01-25,2020-01-04
EY,857.54,Etihad,MUC,BOM,2020-01-05,2020-01-25,2020-01-04
LH,871.89,Lufthansa,MUC,BOM,2020-01-05,2020-01-25,2020-01-04
TK,959.89,Turkish Airlines,MUC,BOM,2020-01-05,2020-01-25,2020-01-04
AZ,967.09,Alitalia,MUC,BOM,2020-01-05,2020-01-25,2020-01-04
AI,1005.89,Air India,MUC,BOM,2020-01-05,2020-01-25,2020-01-04
QF,7750.55,Qantas Airways,MUC,BOM,2020-01-05,2020-01-25,2020-01-04
AF,548.6,Air France,MUC,BOM,2020-01-11,2020-01-31,2020-01-04
KL,566.48,KLM Royal Dutch Airlines,MUC,BOM,2020-01-11,2020-01-31,2020-01-04
LX,627.1,Swiss Air,MUC,BOM,2020-01-11,2020-01-31,2020-01-04
WY,627.99,Oman Air,MUC,BOM,2020-01-11,2020-01-31,2020-01-04
EK,638.55,Emirates,MUC,BOM,2020-01-11,2020-01-31,2020-01-04
EY,639.54,Etihad,MUC,BOM,2020-01-11,2020-01-31,2020-01-04
BA,670.36,British Airways,MUC,BOM,2020-01-11,2020-01-31,2020-01-04
KU,695.31,Kuwait Airways,MUC,BOM,2020-01-11,2020-01-31,2020-01-04
LH,732.75,Lufthansa,MUC,BOM,2020-01-11,2020-01-31,2020-01-04
QR,763.57,Qatar Airways,MUC,BOM,2020-01-11,2020-01-31,2020-01-04
TK,874.89,Turkish Airlines,MUC,BOM,2020-01-11,2020-01-31,2020-01-04
AZ,982.09,Alitalia,MUC,BOM,2020-01-11,2020-01-31,2020-01-04
AI,1005.89,Air India,MUC,BOM,2020-01-11,2020-01-31,2020-01-04
QF,7750.55,Qantas Airways,MUC,BOM,2020-01-11,2020-01-31,2020-01-04
KL,544.48,KLM Royal Dutch Airlines,MUC,BOM,2020-01-19,2020-02-08,2020-01-04
AF,544.6,Air France,MUC,BOM,2020-01-19,2020-02-08,2020-01-04
WY,607.99,Oman Air,MUC,BOM,2020-01-19,2020-02-08,2020-01-04
EK,618.55,Emirates,MUC,BOM,2020-01-19,2020-02-08,2020-01-04
LX,712.1,Swiss Air,MUC,BOM,2020-01-19,2020-02-08,2020-01-04
LH,751.89,Lufthansa,MUC,BOM,2020-01-19,2020-02-08,2020-01-04
QR,763.57,Qatar Airways,MUC,BOM,2020-01-19,2020-02-08,2020-01-04
BA,775.36,British Airways,MUC,BOM,2020-01-19,2020-02-08,2020-01-04
TK,879.89,Turkish Airlines,MUC,BOM,2020-01-19,2020-02-08,2020-01-04
AZ,967.09,Alitalia,MUC,BOM,2020-01-19,2020-02-08,2020-01-04
AI,1005.89,Air India,MUC,BOM,2020-01-19,2020-02-08,2020-01-04
EY,3452.54,Etihad,MUC,BOM,2020-01-19,2020-02-08,2020-01-04
QF,7750.55,Qantas Airways,MUC,BOM,2020-01-19,2020-02-08,2020-01-04
CA,522.03,Air China,MUC,BOM,2020-02-03,2020-02-23,2020-01-04
WY,587.93,Oman Air,MUC,BOM,2020-02-03,2020-02-23,2020-01-04
EK,618.49,Emirates,MUC,BOM,2020-02-03,2020-02-23,2020-01-04
EY,619.48,Etihad,MUC,BOM,2020-02-03,2020-02-23,2020-01-04
KL,655.42,KLM Royal Dutch Airlines,MUC,BOM,2020-02-03,2020-02-23,2020-01-04
LH,666.83,Lufthansa,MUC,BOM,2020-02-03,2020-02-23,2020-01-04
KU,683.25,Kuwait Airways,MUC,BOM,2020-02-03,2020-02-23,2020-01-04
TK,734.83,Turkish Airlines,MUC,BOM,2020-02-03,2020-02-23,2020-01-04
QR,763.51,Qatar Airways,MUC,BOM,2020-02-03,2020-02-23,2020-01-04
AF,898.06,Air France,MUC,BOM,2020-02-03,2020-02-23,2020-01-04
BA,906.3,British Airways,MUC,BOM,2020-02-03,2020-02-23,2020-01-04
AZ,967.03,Alitalia,MUC,BOM,2020-02-03,2020-02-23,2020-01-04
AI,1005.83,Air India,MUC,BOM,2020-02-03,2020-02-23,2020-01-04
LX,1021.33,Swiss Air,MUC,BOM,2020-02-03,2020-02-23,2020-01-04
QF,7750.49,Qantas Airways,MUC,BOM,2020-02-03,2020-02-23,2020-01-04
KL,504.42,KLM Royal Dutch Airlines,MUC,BOM,2020-03-04,2020-03-24,2020-01-04
AF,504.54,Air France,MUC,BOM,2020-03-04,2020-03-24,2020-01-04
TK,534.83,Turkish Airlines,MUC,BOM,2020-03-04,2020-03-24,2020-01-04
WY,587.93,Oman Air,MUC,BOM,2020-03-04,2020-03-24,2020-01-04
EK,598.49,Emirates,MUC,BOM,2020-03-04,2020-03-24,2020-01-04
EY,599.48,Etihad,MUC,BOM,2020-03-04,2020-03-24,2020-01-04
LH,626.83,Lufthansa,MUC,BOM,2020-03-04,2020-03-24,2020-01-04
LX,627.04,Swiss Air,MUC,BOM,2020-03-04,2020-03-24,2020-01-04
BA,670.3,British Airways,MUC,BOM,2020-03-04,2020-03-24,2020-01-04
QR,723.51,Qatar Airways,MUC,BOM,2020-03-04,2020-03-24,2020-01-04
UL,745.49,Sri Lankan Airlines,MUC,BOM,2020-03-04,2020-03-24,2020-01-04
AZ,952.09,Alitalia,MUC,BOM,2020-03-04,2020-03-24,2020-01-04
AI,1005.83,Air India,MUC,BOM,2020-03-04,2020-03-24,2020-01-04
QF,7750.49,Qantas Airways,MUC,BOM,2020-03-04,2020-03-24,2020-01-04
AF,545.63,Air France,MUC,BOM,2020-04-03,2020-04-23,2020-01-04
KL,546.6,KLM Royal Dutch Airlines,MUC,BOM,2020-04-03,2020-04-23,2020-01-04
LH,645.54,Lufthansa,MUC,BOM,2020-04-03,2020-04-23,2020-01-04
LX,785.04,Swiss Air,MUC,BOM,2020-04-03,2020-04-23,2020-01-04
MS,798.45,Egypt Air,MUC,BOM,2020-04-03,2020-04-23,2020-01-04
WY,857.93,Oman Air,MUC,BOM,2020-04-03,2020-04-23,2020-01-04
BA,962.98,British Airways,MUC,BOM,2020-04-03,2020-04-23,2020-01-04
AI,1023.83,Air India,MUC,BOM,2020-04-03,2020-04-23,2020-01-04
EY,1025.48,Etihad,MUC,BOM,2020-04-03,2020-04-23,2020-01-04
EK,1106.49,Emirates,MUC,BOM,2020-04-03,2020-04-23,2020-01-04
QF,7768.49,Qantas Airways,MUC,BOM,2020-04-03,2020-04-23,2020-01-04
LO,577.25,LOT Polish Airlines,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
WY,587.98,Oman Air,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
AY,588.42,Finn Air,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
SU,650.96,Aeroflot,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
LX,656.38,Swiss Air,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
AZ,674.42,Alitalia,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
KL,695.47,KLM Royal Dutch Airlines,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
AF,695.59,Air France,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
TK,772.88,Turkish Airlines,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
EY,857.53,Etihad,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
OS,859.95,Austrian Airlines,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
LH,860.88,Lufthansa,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
QR,875.81,Qatar Airways,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
EK,952.54,Emirates,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
AI,952.88,Air India,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
PS,1444.71,Ukraine International Airlines,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
CA,3747.78,Air China,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
QF,7737.54,Qantas Airways,MUC,DEL,2020-01-05,2020-01-25,2020-01-04
KL,452.47,KLM Royal Dutch Airlines,MUC,DEL,2020-01-11,2020-01-31,2020-01-04
AY,528.42,Finn Air,MUC,DEL,2020-01-11,2020-01-31,2020-01-04
AF,574.59,Air France,MUC,DEL,2020-01-11,2020-01-31,2020-01-04
AZ,587.42,Alitalia,MUC,DEL,2020-01-11,2020-01-31,2020-01-04
WY,607.98,Oman Air,MUC,DEL,2020-01-11,2020-01-31,2020-01-04
EY,614.53,Etihad,MUC,DEL,2020-01-11,2020-01-31,2020-01-04
LX,617.09,Swiss Air,MUC,DEL,2020-01-11,2020-01-31,2020-01-04
EK,638.54,Emirates,MUC,DEL,2020-01-11,2020-01-31,2020-01-04
LH,697.59,Lufthansa,MUC,DEL,2020-01-11,2020-01-31,2020-01-04
KU,698.3,Kuwait Airways,MUC,DEL,2020-01-11,2020-01-31,2020-01-04
SU,705.96,Aeroflot,MUC,DEL,2020-01-11,2020-01-31,2020-01-04
TK,767.88,Turkish Airlines,MUC,DEL,2020-01-11,2020-01-31,2020-01-04
